Java HotSpot(TM) 64-Bit Server VM (25.77-b03) for windows-amd64 JRE (1.8.0_77-b03), built on Mar 20 2016 22:01:33 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33410456k(22933616k free), swap 35507608k(21952116k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-10-02T13:18:59.020+0800: 0.616: [Full GC (Ergonomics) [PSYoungGen: 29497K->26164K(58368K)] [ParOldGen: 174984K->174929K(175104K)] 204481K->201093K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0386296 secs] [Times: user=0.20 sys=0.02, real=0.04 secs] 
2021-10-02T13:18:59.059+0800: 0.655: [Full GC (Ergonomics) [PSYoungGen: 29455K->28118K(58368K)] [ParOldGen: 174929K->174929K(175104K)] 204385K->203048K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0119130 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.071+0800: 0.667: [Full GC (Ergonomics) [PSYoungGen: 29696K->28868K(58368K)] [ParOldGen: 174929K->174858K(175104K)] 204625K->203726K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0106180 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.082+0800: 0.678: [Full GC (Ergonomics) [PSYoungGen: 29663K->29218K(58368K)] [ParOldGen: 174858K->174858K(175104K)] 204522K->204077K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0089576 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.091+0800: 0.687: [Full GC (Ergonomics) [PSYoungGen: 29576K->29255K(58368K)] [ParOldGen: 174858K->174858K(175104K)] 204434K->204113K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0091270 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.100+0800: 0.697: [Full GC (Ergonomics) [PSYoungGen: 29563K->29255K(58368K)] [ParOldGen: 174858K->174858K(175104K)] 204421K->204113K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0096979 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.110+0800: 0.706: [Full GC (Ergonomics) [PSYoungGen: 29654K->29332K(58368K)] [ParOldGen: 174858K->174858K(175104K)] 204512K->204191K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0089509 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.119+0800: 0.716: [Full GC (Ergonomics) [PSYoungGen: 29593K->29332K(58368K)] [ParOldGen: 174858K->174858K(175104K)] 204452K->204191K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0094251 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
2021-10-02T13:18:59.129+0800: 0.725: [Full GC (Ergonomics) [PSYoungGen: 29627K->29332K(58368K)] [ParOldGen: 174858K->174858K(175104K)] 204486K->204191K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0085244 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.138+0800: 0.734: [Full GC (Ergonomics) [PSYoungGen: 29676K->29404K(58368K)] [ParOldGen: 174858K->174858K(175104K)] 204535K->204263K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0108880 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.149+0800: 0.745: [Full GC (Ergonomics) [PSYoungGen: 29685K->29099K(58368K)] [ParOldGen: 174858K->174858K(175104K)] 204544K->203958K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0124590 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.162+0800: 0.758: [Full GC (Ergonomics) [PSYoungGen: 29454K->29099K(58368K)] [ParOldGen: 174858K->174858K(175104K)] 204313K->203958K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0104995 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.172+0800: 0.768: [Full GC (Ergonomics) [PSYoungGen: 29394K->29394K(58368K)] [ParOldGen: 174858K->174858K(175104K)] 204253K->204253K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0109735 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-10-02T13:18:59.183+0800: 0.779: [Full GC (Allocation Failure) [PSYoungGen: 29394K->29394K(58368K)] [ParOldGen: 174858K->174833K(175104K)] 204253K->204227K(233472K), [Metaspace: 3357K->3357K(1056768K)], 0.0391623 secs] [Times: user=0.16 sys=0.00, real=0.04 secs] 
Heap
 PSYoungGen      total 58368K, used 29696K [0x00000000fab00000, 0x0000000100000000, 0x0000000100000000)
  eden space 29696K, 100% used [0x00000000fab00000,0x00000000fc800000,0x00000000fc800000)
  from space 28672K, 0% used [0x00000000fe400000,0x00000000fe400000,0x0000000100000000)
  to   space 28672K, 0% used [0x00000000fc800000,0x00000000fc800000,0x00000000fe400000)
 ParOldGen       total 175104K, used 174833K [0x00000000f0000000, 0x00000000fab00000, 0x00000000fab00000)
  object space 175104K, 99% used [0x00000000f0000000,0x00000000faabc4e8,0x00000000fab00000)
 Metaspace       used 3387K, capacity 4500K, committed 4864K, reserved 1056768K
  class space    used 372K, capacity 388K, committed 512K, reserved 1048576K
